Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries
2020-06-11,7514309,421445,3481671,3611193,138391,4791,84967,5.61,46.33,12.1,187
2020-06-12,7643845,425764,3560483,3657598,129536,4319,78812,5.57,46.58,11.96,187
2020-06-13,7778466,430031,3645598,3702837,134621,4267,85115,5.53,46.87,11.8,187
2020-06-14,7912011,433375,3715556,3763080,133545,3344,69958,5.48,46.96,11.66,187
2020-06-15,8034046,436883,3794955,3802208,122035,3508,79399,5.44,47.24,11.51,187
2020-06-16,8173827,443669,3892350,3837808,139781,6786,97395,5.43,47.62,11.4,187
2020-06-17,8349837,448943,4009755,3891139,176010,5274,117405,5.38,48.02,11.2,187
2020-06-18,8488863,453963,4090382,3944518,139026,5020,80627,5.35,48.19,11.1,187
2020-06-19,8670210,460252,4184852,4025106,181495,6289,94470,5.31,48.27,11.0,187
2020-06-20,8829073,464506,4300164,4064403,158863,4254,115312,5.26,48.7,10.8,187
2020-06-21,8960494,468567,4368433,4123494,131421,4061,68269,5.23,48.75,10.73,187
2020-06-22,9098530,472155,4459666,4166709,138036,3588,91233,5.19,49.02,10.59,187
2020-06-23,9263916,477571,4563274,4223071,165386,5416,103608,5.16,49.26,10.47,187
2020-06-24,9431331,482742,4678589,4270000,167419,5171,115315,5.12,49.61,10.32,187
2020-06-25,9609810,489296,4771053,4349461,178479,6554,92464,5.09,49.65,10.26,187
2020-06-26,9801553,494165,4877368,4430020,191743,4869,106315,5.04,49.76,10.13,187
2020-06-27,9979516,498694,4983410,4497412,177963,4529,106042,5.0,49.94,10.01,187
2020-06-28,10145050,501877,5072198,4570975,166253,3183,88788,4.95,50.0,9.89,187
